constraint_id,h1_band,proj_v1,proj_v2,proj_v3,proj_v4,efrac_v1,efrac_v2,efrac_v3,efrac_v4
us_embargo_cuba,5,-1.1154256754696814,0.3810357940353049,0.4038556501295138,0.08116574102018838,-3.593300282726554e-15,0.002286497840659443,0.5055769726633286,0.49213652949601555
us_employer_health_insurance,0,-0.8917772410856128,0.26601889640670134,0.374503698597566,0.057288994807346574,-3.372450743161525e-15,0.0016363825127344916,0.6383631212784304,0.36000049620883845
us_foreign_policy_america_first,0,-0.9141832137761905,0.3482155896579965,0.27969282721905364,0.7147024984013851,-6.285144770817874e-17,4.9724706760806814e-05,0.006314430385215499,0.9936358449080237
us_greenland_envoy,6,-0.853797256075973,0.2908657393366836,0.31026641893939594,0.04775993288088355,-4.478151080995807e-15,0.002834010007081781,0.6347190007806824,0.3624469892122403
us_iran_drone_conflict,0,-0.9123572355589077,0.350970238800322,0.3799348859844043,0.053411570588870194,-3.628675104686734e-15,0.002928099531485099,0.6753972850649645,0.32167461540355397
us_isolationism_policy_2026,5,-0.9114155269629421,0.3499423115587817,0.2748749634098901,0.7627142292439352,-5.490701348865582e-17,4.413822837967544e-05,0.005360287286198115,0.9945955744854222
us_israel_faa_502b_nonenforcement,0,-1.0449541863647671,0.26288369205692735,0.26753521123800367,0.05294421556792038,-7.293963111070526e-15,0.002517232684228845,0.51316104584118,0.4843217214745984
us_labor_mobility,0,-0.9412380777324816,0.331336430537654,0.3267887086218606,0.2453752464762603,-5.296785291948394e-16,0.00035791407710221104,0.06852833782084734,0.931113748102051
us_legal_standard_reasonable_doubt,0,-0.8390904662337992,0.3996426755469481,0.44204160104694884,0.053669808748230255,-2.4695578099667154e-15,0.003054726610905953,0.7356150931169874,0.2613301802721092
us_military_recruitment_advertising,0,-0.9533461853407827,0.3237823480149355,0.34786595376544155,0.03533298276358946,-5.584638493752696e-15,0.0035125874422724888,0.7980688718459489,0.1984185407117842
us_sanctions_belarus_2022,5,-1.2081603371903815,0.3194740933469591,0.32803819970772524,0.062132576452900094,-6.760524067544492e-15,0.0025776830536510297,0.5349371699256394,0.46248514702071614
us_sanctions_icc_israel_case,6,-0.8891137124281954,0.3664113305772544,0.3996379366501595,0.05349349537804281,-3.2113328902034905e-15,0.0029739626475073044,0.6963488265654731,0.30067721078702275
us_sanctions_moex_2024,5,-1.1007065862610943,0.3564561646651052,0.40583245041653315,0.06241471631436184,-4.35452195294238e-15,0.002490213726708899,0.6353508508991581,0.36215893537413746
us_sdf_alliance_abandonment_2026,4,-1.1165042395242126,0.38036289269204454,0.4057331655692364,0.06245563016706634,-4.478132654015137e-15,0.00283399769960409,0.6347167236926957,0.36244927860770465
us_suburban_zoning_2025,0,-0.9293350157551765,0.338762587899185,0.3060683976227337,0.45186053416161986,-1.6046008721154971e-16,0.0001162626759579923,0.018680225860851524,0.9812035114631906
