constraint	gate	purity	F	SIsub	CC	EX	scope_result	N	rawSI	gridG	m1_si_empty	m2_grid_lt2	m3_grid_empty	m4_ex_fail	m5_floor_default	any_mech	disposition	crosschecks
all_men_created_equal__originalist_reading	pass	0.3125	0.0	0.75	0.5	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
all_men_created_equal__textualist_paradox_reading	pass	0.35	0.125	0.75	0.5	1.1102230246251565e-16	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
all_men_created_equal__universalist_reading	pass	0.599	0.25	1.0	1.0	0.12	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
alternative_governance_emergence	pass	0.627	0.25	1.0	1.0	0.26	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
amun_priesthood_authority_substrate	pass	0.3685	0.0	0.75	0.5	0.28	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
aneyoshi_land_use_prohibition__behavioral_competence_reading	pass	1.0	1.0	1.0	1.0	1.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
aneyoshi_land_use_prohibition__commemorative_husk_reading	pass	0.575	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_moral_status__abolitionist_reading	pass	0.5	0.0	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_moral_status__property_reading	pass	1.0	1.0	1.0	1.0	1.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_moral_status__welfare_reading	pass	0.4501666666666667	0.0	0.75	0.6666666666666667	0.48	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_status__abolitionist_reading	pass	0.575	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_status__property_reading	pass	1.0	1.0	1.0	1.0	1.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_status__welfare_reading	pass	0.6549999999999999	0.25	1.0	1.0	0.3999999999999999	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_status_kernel__property_reading	pass	0.575	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
animal_status_kernel__welfare_reading	pass	0.615	0.25	1.0	1.0	0.20000000000000007	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
anonymity_commons_degradation	pass	0.3205	0.0	0.75	0.5	0.040000000000000036	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
anthropological_record__creationist_reading	pass	0.3805	0.0	0.75	0.5	0.3400000000000001	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
anthropological_record__indigenous_epistemology_reading	pass	0.4983333333333334	0.0	1.0	0.8333333333333334	0.20000000000000007	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
anthropological_record__naturalist_reading	pass	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
arctic_resource_competition	pass	0.3405	0.0	0.75	0.5	0.14000000000000012	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article17_erasure_right__censorship_mechanism_reading	pass	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article17_erasure_right__competitive_moat_reading	pass	0.3285	0.0	0.75	0.5	0.08000000000000007	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article17_erasure_right__privacy_fundamental_reading	pass	0.44599999999999995	0.125	0.75	0.5	0.48	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_17_complementarity__international_oversight_reading	pass	0.3205	0.0	0.75	0.5	0.040000000000000036	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_17_complementarity__national_primacy_reading	pass	0.607	0.25	1.0	1.0	0.15999999999999992	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_17_complementarity__procedural_gatekeeping_mechanism	pass	0.2788333333333334	0.0	0.75	0.33333333333333337	0.040000000000000036	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_27_veto_power__coordination_reading	pass	0.992	1.0	1.0	1.0	0.96	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_27_veto_power__oligopoly_reading	pass	0.3125	0.0	0.75	0.5	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_27_veto_power__sovereignty_reading	pass	1.0	1.0	1.0	1.0	1.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_2_7_chapter_vii_tension__p5_veto_gatekeeper	pass	0.3125	0.0	0.75	0.5	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_2_7_chapter_vii_tension__r2p_reading	pass	0.4663333333333334	0.0	1.0	0.8333333333333334	0.040000000000000036	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_2_7_chapter_vii_tension__sovereignty_first_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_51_self_defense__expansive_preventive_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_51_self_defense__narrow_armed_attack_reading	pass	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_51_self_defense__unable_unwilling_doctrine_reading	pass	0.3445	0.0	0.75	0.5	0.15999999999999992	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_9_war_renunciation__collective_self_defense_reading	pass	0.33649999999999997	0.0	0.75	0.5	0.11999999999999988	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_9_war_renunciation__inherent_right_reading	pass	0.5063333333333334	0.0	1.0	0.8333333333333334	0.24	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
article_9_war_renunciation__strict_pacifist_reading	pass	0.2788333333333334	0.0	0.75	0.33333333333333337	0.040000000000000036	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
audit_trail_discovery_surface	pass	0.623	0.25	1.0	1.0	0.24	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
average_is_over_2026	pass	0.378	0.125	0.75	0.5	0.14000000000000012	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
award_system_voter_diversity	pass	0.8240000000000001	1.0	1.0	1.0	0.12	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
axiom_of_choice_consequence	pass	0.9600000000000001	1.0	1.0	1.0	0.8	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
balfour_mandate_instruments__dual_obligation_indigenous_rights	pass	0.5063333333333334	0.0	1.0	0.8333333333333334	0.24	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
balfour_mandate_instruments__jewish_national_home_primacy	pass	0.4411666666666667	0.25	0.75	0.6666666666666667	0.06000000000000005	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
balfour_mandate_instruments__mandatory_interpretive_discretion	pass	0.358	0.125	0.75	0.5	0.040000000000000036	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
basic_law_interpretive_authority__judicial_supremacy_reading	pass	0.5063333333333334	0.0	1.0	0.8333333333333334	0.24	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
basic_law_interpretive_authority__parliamentary_sovereignty_reading	pass	0.607	0.25	1.0	1.0	0.15999999999999992	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
basic_law_interpretive_authority__popular_constitutionalism_reading	pass	0.45833333333333337	0.0	1.0	0.8333333333333334	1.1102230246251565e-16	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
basic_law_interpretive_boundary__balanced_contestation_reading	pass	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
basic_law_interpretive_boundary__judicial_supremacy_reading	pass	0.3205	0.0	0.75	0.5	0.040000000000000036	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	pass	1.0	1.0	1.0	1.0	1.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
beehiiv_platform_model	pass	0.3405	0.0	0.75	0.5	0.14000000000000012	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
beta_designation_doctrine__expansive_shield_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
beta_designation_doctrine__narrow_warning_reading	pass	0.3925	0.0	0.75	0.5	0.4	variant([scaffold,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
beta_designation_doctrine__severity_carve_out_reading	pass	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
biblical_authority__conciliar_reading	pass	0.4341666666666667	0.0	0.75	0.6666666666666667	0.4	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
biblical_authority__sola_scriptura_reading	pass	0.4085	0.0	0.75	0.5	0.48	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
biblical_authority__tradition_scripture_reading	pass	0.3285	0.0	0.75	0.5	0.08000000000000007	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
biblical_divine_nature__modalist_reading	pass	0.4341666666666667	0.0	0.75	0.6666666666666667	0.4	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
biblical_divine_nature__trinitarian_reading	pass	0.3701666666666667	0.0	0.75	0.6666666666666667	0.08000000000000007	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
biblical_divine_nature__unitarian_reading	pass	0.3925	0.0	0.75	0.5	0.4	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
biblical_source_text__critical_reconstructive_reading	pass	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
biblical_source_text__dynamic_equivalence_reading	pass	0.4101666666666667	0.0	0.75	0.6666666666666667	0.28	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
biblical_source_text__formal_equivalence_reading	pass	0.45833333333333337	0.0	1.0	0.8333333333333334	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
big_data_astrophysics_arbitrage	pass	0.39	0.125	0.75	0.5	0.20000000000000007	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bilateral_science_innovation_partnership	pass	0.8520000000000001	1.0	1.0	1.0	0.26	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bitcoin_consensus_kernel__maximalist_reading	pass	0.3405	0.0	0.75	0.5	0.14000000000000012	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bitcoin_consensus_kernel__pragmatic_synthesis	pass	0.7778333333333334	0.625	1.0	0.8333333333333334	0.6599999999999999	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bitcoin_consensus_kernel__utility_reading	pass	0.43799999999999994	0.125	0.75	0.5	0.43999999999999995	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bitcoin_whitepaper__digital_gold_reading	pass	0.3405	0.0	0.75	0.5	0.14000000000000012	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bitcoin_whitepaper__p2p_cash_reading	pass	0.5263333333333334	0.0	1.0	0.8333333333333334	0.3400000000000001	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bitcoin_whitepaper__protocol_ossification_reading	pass	0.3205	0.0	0.75	0.5	0.040000000000000036	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bitcoin_whitepaper_purpose__electronic_cash_reading	pass	0.6738333333333334	0.625	1.0	0.8333333333333334	0.14000000000000012	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	pass	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bitcoin_whitepaper_purpose__store_of_value_reading	pass	0.872	1.0	1.0	1.0	0.36	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bite_configuration_naturalization	pass	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
blockchain_scalability_trilemma	pass	0.627	0.25	1.0	1.0	0.26	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
blockchain_settlement_finality	pass	0.366	0.125	0.75	0.5	0.08000000000000007	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
boom_bust_path_dependency	pass	0.31633333333333336	0.0	0.5	0.33333333333333337	0.54	variant([piton,rope,unknown])	3	0.5	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
border_control_legitimacy__freedom_of_movement_primary	pass	0.378	0.125	0.75	0.5	0.14000000000000012	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
border_control_legitimacy__jurisdictional_sovereignty	pass	0.3405	0.0	0.75	0.5	0.14000000000000012	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
border_control_legitimacy__sovereignty_primary	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
border_legitimacy__economic_utility_reading	pass	0.3941666666666667	0.0	0.75	0.6666666666666667	0.20000000000000007	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
border_legitimacy__freedom_of_movement_primary_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
border_legitimacy__freedom_of_movement_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	1	1	unknown	x2(na)-x5(ok)
border_legitimacy__humanitarian_obligation_reading	pass	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
border_legitimacy__sovereignty_primary_reading	pass	0.3805	0.0	0.75	0.5	0.3400000000000001	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
border_legitimacy__sovereignty_reading	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
border_normative_status__freedom_primary	pass	0.3405	0.0	0.75	0.5	0.14000000000000012	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
border_normative_status__qualified_sovereignty	pass	0.3205	0.0	0.75	0.5	0.040000000000000036	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
border_normative_status__sovereignty_primary	pass	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bretton_woods_treaty_substrate__keynesian_embedded_liberalism	pass	0.4621666666666667	0.0	0.75	0.6666666666666667	0.54	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bretton_woods_treaty_substrate__neoliberal_convertibility	pass	0.3941666666666667	0.0	0.75	0.6666666666666667	0.20000000000000007	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bretton_woods_treaty_substrate__sovereignty_defense	pass	0.36050000000000004	0.0	0.75	0.5	0.2400000000000001	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
burali_forte_paradox	pass	0.9600000000000001	1.0	1.0	1.0	0.8	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bureaucratic_discretion_capture	pass	0.378	0.125	0.75	0.5	0.14000000000000012	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bureaucratic_legibility_collapse	pass	0.3405	0.0	0.75	0.5	0.14000000000000012	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
bureaucratic_rent_seeking	pass	0.3445	0.0	0.75	0.5	0.15999999999999992	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
busy_beaver_noncomputability	pass	0.9600000000000001	1.0	1.0	1.0	0.8	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
caa_section_111d_delegation__facility_constraint_reading	pass	0.3205	0.0	0.75	0.5	0.040000000000000036	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
caa_section_111d_delegation__state_compliance_pathway_constraint	pass	0.7153333333333334	0.75	1.0	0.8333333333333334	0.15999999999999992	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
caa_section_111d_delegation__systemic_transformation_reading	pass	0.3621666666666667	0.0	0.75	0.6666666666666667	0.040000000000000036	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
canadian_equalization_regime	pass	0.627	0.25	1.0	1.0	0.26	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
capability_acceleration_outpacing_safety	pass	0.3541666666666667	0.0	0.75	0.6666666666666667	0.0	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
capability_velocity_mismatch	pass	0.3205	0.0	0.75	0.5	0.040000000000000036	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
catastrophe_avoidance_retention__catastrophe_as_necessary_selector	pass	0.3205	0.0	0.75	0.5	0.040000000000000036	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
catastrophe_avoidance_retention__hybrid_near_miss_learning	pass	0.575	0.25	1.0	1.0	0.0	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
catastrophe_avoidance_retention__simulation_as_proxy_catastrophe	pass	0.4421666666666667	0.0	0.75	0.6666666666666667	0.43999999999999995	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
catastrophe_memory_function__hybrid_transformation_reading	pass	0.4501666666666667	0.0	0.75	0.6666666666666667	0.48	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
catastrophe_memory_function__mourning_practice_reading	pass	0.4341666666666667	0.0	0.75	0.6666666666666667	0.4	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
catastrophe_memory_function__survival_competence_reading	pass	0.4165	0.0	0.75	0.5	0.52	variant([rope,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
catastrophe_memory_preservation__hybrid_atrophy_reading	pass	0.4325	0.0	0.75	0.5	0.6	variant([piton,rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
catastrophe_memory_preservation__mourning_practice_reading	pass	0.9440000000000001	1.0	1.0	1.0	0.72	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
catastrophe_memory_preservation__survival_competence_reading	pass	0.3125	0.0	0.75	0.5	1.1102230246251565e-16	variant([snare,tangled_rope])	2	0.75	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
catastrophe_memory_survival__competence_transmission_reading	pass	0.599	0.25	1.0	1.0	0.12	invariant	1	1.0	12	0	0	0	0	0	0	scored	x2(na)-x5(na)
