constraint_id,h1,max_tvd,t13_fires,worst_context,d_FR_worst,KL_fwd_worst,KL_rev_worst,asymmetry_ratio,argmax_cl,argmax_idx
cbdc_implementation,6,0.5369598310433067,True,institutional,1.7551035056824962,11.731799533250701,2.4418421234097525,0.7918612471608475,snare,tangled_rope
central_limit_theorem_convergence,0,0.09172098174546384,False,institutional,0.5843390180088306,0.09470399355221815,0.4544643166182809,0.7916140165702755,mountain,mountain
china_contraceptive_tax,6,0.4119315700882379,True,institutional,1.5944788151479694,8.917153171749309,2.9346873871875525,0.6708941373256859,tangled_rope,tangled_rope
cholesterol_pill_cost,5,0.9927599098901192,True,institutional,3.116296945113388,22.844131528464043,17.253873085067532,0.2447131087662924,snare,rope
climate_catastrophe_belief,6,0.4119315700882379,True,institutional,1.5944788151479694,8.917153171749309,2.9346873871875525,0.6708941373256859,tangled_rope,tangled_rope
clt_convergence_2026,0,0.09172098174546384,False,institutional,0.5843390180088306,0.09470399355221815,0.4544643166182809,0.7916140165702755,mountain,mountain
coalition_disinfo_framework_2026,0,0.61046525593504,False,institutional,1.8219246761702197,13.402000938873936,1.4482727157052937,0.8919360831034996,snare,tangled_rope
coe_ukraine_reparations_register,6,0.5369598310433067,True,institutional,1.7551035056824962,11.731799533250701,2.4418421234097525,0.7918612471608475,snare,tangled_rope
coffee_cardiovascular_2026,0,0.22782980424589216,False,analytical,0.86473234739541,0.2394351900631587,0.6918400274535285,0.6539153842479261,tangled_rope,tangled_rope
cognac_geopolitical_risk,6,0.9995194897257291,True,institutional,3.139198155007852,23.014889599199897,14.027739254895987,0.39049287225850277,snare,rope
cognitive_bicycle_scaffold,0,0.8447451627188883,False,institutional,2.115708239275228,3.0859134799292773,1.8646700228907618,0.3957477955819111,tangled_rope,rope
cognitive_diversity_arbitrage,0,0.7110083398770009,False,institutional,2.06702828083487,15.798747323224893,2.852488945578066,0.8194484102302988,snare,tangled_rope
cognitive_induction_gap,0,0.4119315700882379,False,institutional,1.619741891230577,8.932570385132124,3.2596830788761433,0.6350789371554525,tangled_rope,tangled_rope
cognitive_mimicry_arbitrage,0,0.7148878243852669,False,institutional,2.0683692119854187,15.888012004785024,2.6184186536020406,0.8351953250782134,snare,tangled_rope
cognitive_surrender_to_system_3,0,0.5947011847636008,False,institutional,1.870712630366625,13.075271364121567,3.153883280488355,0.758790223723954,snare,tangled_rope
coinbase_crypto_volatility,0,0.5380343124459922,False,institutional,1.7835444915039025,11.771562751234827,2.8271976977051136,0.7598281759651204,snare,tangled_rope
coinbase_regulatory_uncertainty,0,0.5335938463626007,False,institutional,1.7240585779302446,11.640456018756844,2.0672907728620586,0.8224046575554316,snare,tangled_rope
cold_dark_matter_paradigm,0,0.889862364172898,False,institutional,2.412643560152512,2.2052424172301515,6.0622804971043704,0.636235502747938,tangled_rope,rope
collatz_conjecture_determinism,0,0.06499731744151283,False,institutional,0.49164636691848085,0.0662911847317683,0.33270318985074987,0.8007497771166353,mountain,mountain
collective_action_deadlock,0,0.5369598310433067,False,institutional,1.7551035056824962,11.731799533250701,2.4418421234097525,0.7918612471608475,snare,tangled_rope
collective_stupidity_2026,6,0.9997786080713049,True,institutional,3.1374463785447153,23.01956855474962,21.845739893987034,0.0509926438443343,snare,rope
college_admissions_market,6,0.7110083398770009,True,powerless,2.071785831715721,15.80106323515459,2.984119001957748,0.811144417464351,snare,tangled_rope
colorado_sbe_decentralization_friction,3,0.31620891390016803,True,institutional,1.280498721177499,1.488003854211105,4.525112906066254,0.6711675741358135,tangled_rope,tangled_rope
colossus_nero_inertia,0,0.5185501477024832,False,institutional,1.7599209498862605,11.32977762571729,3.218519010929593,0.7159239027230397,snare,tangled_rope
columbia_2026_elections,0,0.5465083240681444,False,institutional,1.6431433794829977,0.7903149280794669,4.287715081651913,0.8156792340374013,tangled_rope,rope
comitatus_bond,0,0.4036440322970571,False,analytical,1.183286849007472,0.47694749845371887,1.1729270805031013,0.5933698638374496,tangled_rope,tangled_rope
commercial_data_brokerage,5,0.9936428138293127,True,institutional,3.06163442501045,22.84979629617641,17.319979204567204,0.2420072818125973,snare,rope
communal_narcissism_social_trap,0,0.9871961382549884,False,institutional,3.0347983757485717,22.682531910773,16.53233302038194,0.2711425212398816,snare,rope
complexity_debt,6,0.40559296255546007,True,institutional,1.5344146732798751,8.745626559766388,2.3436133129898598,0.7320245385537635,tangled_rope,tangled_rope
compounding_logic,0,0.9588269841103508,False,institutional,2.6056151973509984,4.642590897813143,3.351900056070368,0.27801089308789734,tangled_rope,rope
condiment_tyranny,3,0.6150568702017618,True,institutional,1.779127328400312,0.9539921760808012,4.762682524786758,0.7996943589844854,tangled_rope,rope
confidential_ai_whatsapp,6,0.5328730347864006,True,institutional,1.720909534774921,11.622844466954552,2.0385311139673616,0.824609963614053,snare,tangled_rope
confirmation_bias,0,0.5947011847636008,False,institutional,1.8569377314541864,13.06774459818124,2.8583766552457033,0.781264729060933,snare,tangled_rope
consensus_without_truth,0,0.6928645297602752,False,powerless,1.9267868839396847,4.7265100565298255,1.1832077878261726,0.7496656573931261,snare,tangled_rope
constitutional_consecration,0,0.5164121310736395,False,analytical,1.3652480512672924,0.6698803792275171,1.440811307458736,0.5350672390203309,tangled_rope,snare
constitutional_supremacy,0,0.4119315700882379,False,institutional,1.5719200689153585,8.903711676244535,2.64588191694032,0.7028338278293939,tangled_rope,tangled_rope
consumer_debt_slavery,3,0.9883235122917676,True,institutional,2.853042653547866,5.15672320737059,7.370949469664379,0.30039905597054767,snare,tangled_rope
container_capacity_mismatch,0,0.536959805484218,False,institutional,1.6530850654364744,8.69910198706419,0.8783098960362598,0.8990344178810259,snare,tangled_rope
continuum_hypothesis_undecidability,0,0.03324401513594033,False,institutional,0.3485491398581495,0.033291896961379144,0.16564578355890783,0.7990175406454598,mountain,mountain
conversational_dogmas_interuption,0,0.4119315700882379,False,institutional,1.5944788151479694,8.917153171749309,2.9346873871875525,0.6708941373256859,tangled_rope,tangled_rope
conways_game_of_life_dynamics,0,0.09172098174546384,False,institutional,0.5843390180088306,0.09470399355221815,0.4544643166182809,0.7916140165702755,mountain,mountain
coordination_attack_vulnerability,0,0.5369598310433067,False,institutional,1.7551035056824962,11.731799533250701,2.4418421234097525,0.7918612471608475,snare,tangled_rope
coordination_fatigue,0,0.40559296255546007,False,institutional,1.5344146732798751,8.745626559766388,2.3436133129898598,0.7320245385537635,tangled_rope,tangled_rope
coordination_threshold_failure,0,0.5389745190292866,False,institutional,1.6704258446330043,8.744959022054564,1.0455440851959643,0.8804403676953627,snare,tangled_rope
copyleft_viral_licensing,0,0.9733214387385793,False,institutional,2.7185364110044317,5.410225022779438,3.744103949549146,0.30795781436357755,tangled_rope,rope
